,Title,Content,Predicted Category,Actual Category,LLM Output
54,Udet U 11 Kondor, The Udet U 11 Kondor was a German four-engined airliner designed and built by Udet Flugzeugbau only one was built.,WrittenWork,MeanOfTransportation,13
55,USNS Mission San Rafael (T-AO-130), SS Mission San Rafael was a Type T2-SE-A2 tanker built for the United States Maritime Commission during World War II. After the war she was acquired by the United States Navy as USS Mission San Rafael (AO-130). Later the tanker transferred to the Military Sea Transportation Service as USNS Mission San Rafael (T-AO-130). She was a member of the Mission Buenaventura-class oiler and was named for Mission San Rafael Arcángel she was the only U.S. Naval vessel to bear the name.,OfficeHolder,MeanOfTransportation,4
56,FFA Diamant, The FFA Diamant (English: Diamond) is a family of Swiss high-wing T-tailed single-seat FAI Standard Class and Open class gliders that was designed by engineering students under supervision of Professor Rauscher at the ETH Zurich and manufactured by Flug- und Fahrzeugwerke Altenrhein AG (FFA) of Altenrhein Switzerland.The Diamant is noted as the first glider that was built entirely from fiberglass with no other materials such as balsa used as a sandwich.,WrittenWork,MeanOfTransportation,13
57,USS Tuscaloosa (CA-37), USS Tuscaloosa (CA-37) was a New Orleans-class heavy cruiser of the U.S. Navy. Commissioned in 1934 she spent most of her career in the Atlantic and Caribbean participating in several European wartime operations. In early 1945 she transferred to the Pacific and assisted in shore bombardment of Iwo Jima and Okinawa. She earned 7 battle stars for her service in World War II.,OfficeHolder,MeanOfTransportation,4
58,Asashio-class submarine, The Asashio class submarine is a submarine class of Japanese Maritime Self-Defense Force. This class is the successor of Ōshio.,Company,MeanOfTransportation,0
59,Riley Two-Point-Six, The Two-Point-Six replaced the Riley Pathfinder as Riley's top-line automobile. While its predecessor retained the Riley 4 cylinder twin cam cross flow engine the Two-Point-Six was almost identical to the Wolseley Six-Ninety Series III.,EducationalInstitution,MeanOfTransportation,1
60,Governor William J. Bulow House, The Governor William J. Bulow House located at 207 W. Hemlock St. in Beresford South Dakota was built in 1898. Also known as the Doug and Carol Nygaard House it was listed on the National Register of Historic Places in 1986.The listing for a 0.9-acre (0.36 ha) property includes two contributing buildings: a single dwelling and a secondary structure.,WrittenWork,Building,13
61,St Lukes Private Hospital, St. Lukes Hospital is a private hospital located in Launceston Tasmania Australia. St. Luke's was founded in 1900 by the St. Luke's Anglican Association a charitable organisation and was designed to be for the care of the aged disabled and terminally ill. It was first sold in 1986 and again sold in 2004 this time to Little Company of Mary Health Care owners of Calvary Hospital.,Company,Building,0
62,Patrick Henry Brittan House, The Patrick Henry Brittan House also known as the Brittan-Dennis House is a historic Italianate style house in Montgomery Alabama. The one-story brick house was completed in 1858 by Patrick Henry Brittan 10th Secretary of State of Alabama. It was added to the National Register of Historic Places on December 13 1979. The building is located at 507 Columbus Street.,NaturalPlace,Building,7
63,Fengyuan Museum of Lacquer Art, The Fengyuan Museum of Lacquer Art (Chinese: 豐原漆藝館; pinyin: Fēngyuán Qīyìguǎn) is a museum presenting lacquer art in Fengyuan District Taichung Taiwan.,WrittenWork,Building,13
64,Perry Carnegie Library Building, The Perry Carnegie Library Building in Perry Iowa is a building from 1908. It was listed on the National Register of Historic Places in 1996.,NaturalPlace,Building,7
65,HM Prison Hull, HM Prison Hull is a Category B men's local prison located in Kingston upon Hull in the East Riding of Yorkshire England. The term 'local' means that this prison holds people on remand to the local courts. The prison is operated by Her Majesty's Prison Service.,Company,Building,0
66,Antlers Guard Station, The Antlers Guard Station is a rustic cabin located in the Wallowa–Whitman National Forest in northeastern Oregon United States. It was originally built to house fire crews assigned to patrol the surrounding National Forest. Since the 1990s the United States Forest Service rents Antlers Guard Station and other forest cabins and lookout stations to recreational visitors. The Antlers Guard Station is listed on the National Register of Historic Places.,Company,Building,0
67,Henry Town Center, Henry Town Center is one of the largest shopping centers in Henry County Georgia but its size was over taken by the South Point Mall located 3 miles to the south. It is anchored by Super Target Belk and Home Depot. There are also many other stores such as Motherhood Maternity Bath & Body Works and Edible Arrangements.,Film,Building,12
68,Wyco Church, Wyco Church also known as Wyco Community Church Wyco Independent Church Wyco Freewill Baptist Church and Wyco Independent Baptist Church is a historic Baptist church located near Mullens Wyoming County West Virginia. It was built in 1917 and is a rectangular frame building with a front gable-roof and set a cut sandstone foundation. It is clad in wood clapboard and features lancet windows and a prominent recessed entrance in the Late Gothic Revival style.,WrittenWork,Building,13
69,Former United States Post Office (Kaukauna Wisconsin), The Former United States Post Office of Kaukauna Wisconsin United States was designed by Louis A. Simon and built in 1934. It was added to the National Register of Historic Places in 1992 for its significance in politics government and architecture.,WrittenWork,Building,13
80,Kobiela Opole Voivodeship, Kobiela [kɔˈbjɛla] (German Kühschmalz) is a village in the administrative district of Gmina Grodków within Brzeg County Opole Voivodeship in south-western Poland. It lies approximately 9 kilometres (6 mi) south-west of Grodków 31 km (19 mi) south-west of Brzeg and 46 km (29 mi) west of the regional capital Opole.Before 1945 the area was part of Germany (see Territorial changes of Poland after World War II).,NaturalPlace,Village,7
81,Jabłonna Świętokrzyskie Voivodeship, Jabłonna [jaˈbwɔnna] is a village in the administrative district of Gmina Brody within Starachowice County Świętokrzyskie Voivodeship in south-central Poland. It lies approximately 7 kilometres (4 mi) south-west of Brody 9 km (6 mi) south-east of Starachowice and 40 km (25 mi) east of the regional capital Kielce.The village has a population of 363.,NaturalPlace,Village,7
82,Tolombeh Khaneh-ye Sabzab, Tolombeh Khaneh-ye Sabzab (Persian: تلمبه خانه سبزاب‎ also Romanized as Tolombeh Khāneh-ye Sabzāb) is a village in Howmeh Rural District in the Central District of Andimeshk County Khuzestan Province Iran. At the 2006 census its population was 116 in 25 families.,NaturalPlace,Village,7
83,Chomaqestan Rudsar, Chomaqestan (Persian: چماقستان‎ also Romanized as Chomāqestān; also known as Bahār Sarā) is a village in Bibalan Rural District Kelachay District Rudsar County Gilan Province Iran. At the 2006 census its population was 153 in 51 families.,NaturalPlace,Village,7
84,Granie, Granie [ˈɡraɲe] is a village in the administrative district of Gmina Sterdyń within Sokołów County Masovian Voivodeship in east-central Poland.,NaturalPlace,Village,7
85,Cornwerd, Cornwerd (West Frisian: Koarnwert) is a small village in Wûnseradiel in the province Friesland of the Netherlands and has around 100 citizens (2004). Cornwerd is the location of the most westerly windmill in Friesland De Cornwerdermolen.,NaturalPlace,Village,7
86,Mohammadabad Shahrud, Mohammadabad (Persian: محمد آباد‎ also Romanized as Moḩammadābād and Muhammadābād) is a village in Meyami Rural District Meyami District Shahrud County Semnan Province Iran. At the 2006 census its population was 976 in 274 families.,NaturalPlace,Village,7
87,Dąbrowa Lublin County, Dąbrowa [dɔmˈbrɔva] is a village in the administrative district of Gmina Borzechów within Lublin County Lublin Voivodeship in eastern Poland.,NaturalPlace,Village,7
88,Dashtagan, Dashtagan (Persian: دشتگان‎ also Romanized as Dashtagān) is a village in Kalashtar Rural District in the Central District of Rudbar County Gilan Province Iran. At the 2006 census its population was 109 in 35 families.,NaturalPlace,Village,7
89,Kruszewo Żuromin County, Kruszewo [kruˈʂɛvɔ] is a village in the administrative district of Gmina Żuromin within Żuromin County Masovian Voivodeship in east-central Poland. It lies approximately 5 kilometres (3 mi) south-west of Żuromin and 120 km (75 mi) north-west of Warsaw.The village has a population of 140.,NaturalPlace,Village,7
90,Eupithecia parcirufa, Eupithecia parcirufa is a moth in the Geometridae family. It is found in Bolivia.,WrittenWork,Animal,13
91,Uranothauma cordatus, Uranothauma cordatus is a butterfly in the Lycaenidae family. It is found in Uganda the Democratic Republic of Congo (the north-eastern part of the country to Kivu) Kenya and northern Tanzania. The habitat consists of montane areas at altitudes above 1500 meters.Adult males mud-puddle and have also been recorded on excrement.,WrittenWork,Animal,13
92,Poecilia sphenops, Poecilia sphenops is a species of fish of the genus Poecilia known under the common name molly; to distinguish it from its congeners it is sometimes called short-finned molly or common molly. They inhabit fresh water streams and coastal brackish and marine waters of Mexico.,Plant,Animal,10
93,Nebria kurosawai, Nebria kurosawai is a species of ground beetle in the Nebriinae subfamily that is endemic to Japan.,WrittenWork,Animal,13
94,Laevistrombus turturella, Laevistrombus turturella is a species of sea snail a marine gastropod mollusc in the family Strombidae (true conches). There are only two living species within the genus Laevistrombus; the other congener is Laevistrombus canarium the dog conch.,WrittenWork,Animal,13
95,Kumococius rodericensis, Kumococius rodericensis the Spiny flathes is a species of flathead native to the Indian Ocean and the tropical western Pacific Ocean where it can be found on sandy or muddy bottoms of the continental shelf at depths of from 6 to 75 metres (20 to 246 ft). This species grows to a length of 25 centimetres (9.8 in) TL and is of minor importance to local commercial fisheries. This species is the only known member of its genus.,NaturalPlace,Animal,7
96,Hyposmocoma nebulifera, Hyposmocoma nebulifera is a species of moth of the Cosmopterigidae family. It is endemic to Oahu. The type locality is the Waianae Mountain Range where it was collected on an altitude of 2000 feet.The length of the forewings is 5.8-6 mm for males and 6.5-7.2 mm for females.The larval case is dark brown smooth 8.1 mm in length and 2.5 mm wide.,WrittenWork,Animal,13
97,Elachista discina, Elachista discina is a moth of the Elachistidae family that is endemic to Australia.,WrittenWork,Animal,13
98,Benthobia, Benthobia is a genus of sea snails marine gastropod mollusks in the family Pseudolividae.,Plant,Animal,10
99,Metallolophia purpurivenata, Metallolophia purpurivenata is a moth of the Geometridae family. It is found in China (Guangxi).,WrittenWork,Animal,13
101,Timmia, Timmia is a genus of moss. It is the only genus in the family Timmiaceae and order Timmiales. The genus is named in honor of the 18th-century German botanist Joachim Christian Timm.The genus Timmia includes only four species:,WrittenWork,Plant,13
103,Schismus, Schismus is a genus of grass in the Poaceae family. They are native to Africa and Asia.Species include:Schismus arabicus - Arabian schismusSchismus barbatus - common Mediterranean grass↑,WrittenWork,Plant,13
105,Amaranthus brownii, Amaranthus brownii is an annual herb in the Amaranthaceae family. The plant is found only on the small island of Nihoa in the Northwestern Hawaiian Islands growing on rocky outcrops at altitudes of 120–215 m (394–705 ft). It is one of nine species of Amaranthus in the Hawaiian Islands but the only endemic Hawaiian species of the genus. It was first discovered during the Tanager Expedition in 1923 by botanist Edward Leonard Caum. A.,WrittenWork,Plant,13
106,Bulbophyllum fallax, Bulbophyllum fallax is a species of orchid in the genus Bulbophyllum.,WrittenWork,Plant,13
107,Danthonia decumbens, Danthonia decumbens (formerly Sieglingia decumbens) is a species of grass commonly known as common heath grass. It is a bunchgrass native to Europe.The plant is found on acid pastures and heathland on sandy or peat soils which are also often damp.,NaturalPlace,Plant,7
109,Marsupella profunda, Marsupella profunda (Western Rustwort) is a liverwort endemic to Europe and known only from Portugal (Azores and Madeira) Spain (Canary Islands) and Great Britain (Cornwall).,NaturalPlace,Plant,7
110,Psychedelic Lollipop, Psychedelic Lollipop is the debut album by the rock band Blues Magoos one of the first to have the word “psychedelic” on the sleeve. Their single “(We Ain't Got) Nothin' Yet” was their most successful effort rising into the Top 10 on many national charts. Guitarist “Peppy” Theilhelm was 16 years old at the time of the single’s release.,Film,Album,12
111,Late Night Tales: Fatboy Slim, Late Night Tales: Fatboy Slim is the 19th DJ mix album released in the Late Night Tales series on Late Night Tales. It was mixed by British DJ Fatboy Slim.,Film,Album,12
112,Enregistrement Public à l'Olympia 1964, Enregistrement Public à l'Olympia 1964 is Jacques Brel's second live album. Also known as Olympia 64 the album was reissued in an exteded version on 23 September 2003 under the title Enregistrement Public à l'Olympia 1964 as part of the 16-CD box set Boîte à Bonbons by Barclay (980 817-1). The album is listed in the book 1001 Albums You Must Hear Before You Die.,WrittenWork,Album,13
113,Team Sleep (album), Team Sleep is the eponymous debut studio album by American alternative rock band Team Sleep largely produced by Greg Wells (Rufus Wainwright Creeper Lagoon and Mika). It was released in Europe on May 9 2005 and a day later in the United States through Maverick Records.,Film,Album,12
114,The House Show, The House Show (2004) is a live album from singer-songwriter Derek Webb from his House Show tour following the release of his first solo album She Must and Shall Go Free.,WrittenWork,Album,13
115,Vol. 2 (Breaking Through), Volume 2 (Breaking Through) is a psychedelic rock album by The West Coast Pop Art Experimental Band. The group's second album it was released in 1967 on Reprise (R 6270 mono RS 6270 stereo). On the back of original LP release appears 'Breaking Through' and the declaration: Every song in this album has been written arranged sung and played by the group. No one censored us. We got to say everything we wanted to say in the way we wanted to say it.,WrittenWork,Album,13
116,Den vilda (album), Den vilda is a studio album released by the Swedish pop group One More Time in 1996. The album peaked at #29 on the Swedish albums chart. One year later it was released again with the songs translated into English. The title of the new album was Living in a Dream and the cover art was different. The English version also included a new English version of the song Det vackraste written by the band members and performed by Cecilia Vennersten at Melodifestivalen 1995.,WrittenWork,Album,13
117,Viva Cuca DVD, Viva Cuca is the first live DVD of Mexican group hard rock Cuca. The video was sent 25 June 2005 in format DVD-Video by means of record company Universal Music. The DVD contains 20 official subjects of the group plus a single of guitar of Galo Ochoa,WrittenWork,Album,13
118,The Southern Oklahoma Cosmic Trigger Contest, The Southern Oklahoma Cosmic Trigger Contest is a soundtrack by The Flaming Lips to the Bradley Beesley fishing documentary Okie Noodling featuring three country-tinged songs not found elsewhere two of which are instrumentals.It was distributed as a promotional CD at early screenings of the film.The first track has the following spoken introduction: when Bradley first told me I guess maybe a year and a half ago about making this little movie about okie noodling I'd really never heard of the term noodling before and for some reason I immediately imagined it was about of all things masturbation. ,WrittenWork,Album,13
119,The Warrior (Osibisa album), The Warrior is a bootleg version of the album Ojah Awake (1976) by British Afro-pop band Osibisa released without authorisation in 1992 by Soundwings Records MC-102.1075-2 and distributed by Serenade S.A. Barcelona Spain. The CD duplicates the Ojah Awake album (in poorer fidelity) with the addition of a track dubbed from Osibisa's video.,WrittenWork,Album,13
120,Dorian Gray (1970 film), Dorian Gray is a 1970 movie adaptation of Oscar Wilde's novel The Picture of Dorian Gray starring Helmut Berger. Directed by Massimo Dallamano the film stresses the decadence and eroticism of the story and changes the setting to early 1970s London.,WrittenWork,Film,13
121,The Night Walker (film), The Night Walker (1964) is a black-and-white psychological suspense thriller by genre specialist William Castle with a screenplay by Robert Bloch starring Barbara Stanwyck Robert Taylor Hayden Rorke Judi Meredith and Lloyd Bochner as The Dream. The film was one of the last black and white theatrical features released by Universal Pictures and Stanwyck's last motion picture.,WrittenWork,Film,13
122,Camino (film), Camino is a 2008 Spanish film directed by Javier Fesser. The film is based on the real story of Alexia González-Barros a girl who died from spinal cancer at fourteen in 1985 and is currently in process of canonization.The film is controversial because Alexia's siblings said it was a distortion of the girl's history. They also objected to Fesser's use of Alexia's full name in his dedication despite him having undertaken not to directly identify her.,WrittenWork,Film,13
123,The Courageous Heart of Irena Sendler, The Courageous Heart of Irena Sendler is a 2009 television film directed by John Kent Harrison. The film is a co-production between United States and Poland companies.,WrittenWork,Film,13
124,Hamoon Bazha, Hamoon Bazha is a documentary film by Mani Haghighi. It is about a famous Iranian cult film named Hamoon directed by Dariush Mehrjui.,WrittenWork,Film,13
125,A New Life (film), A New Life is a 1988 romantic comedy film written directed by and starring Alan Alda also featuring Ann-Margret John Shea Hal Linden and Veronica Hamel.,WrittenWork,Film,13
127,Cover Girl Models, Cover Girl Models is a 1975 exploitation film from New World Pictures about three models who become involved in international espionage.,WrittenWork,Film,13
128,Children of Divorce (1939 film), Children of Divorce (Danish: Skilsmissens børn) is a 1939 Danish drama film directed by Benjamin Christensen.,WrittenWork,Film,13
129,Paap Ki Duniya, Paap Ki Duniya is an Indian film directed by Shibu Mitra and released in 1988. The movie stars Sunny Deol Neelam Shakti Kapoor Chunky Pandey.,WrittenWork,Film,13
134,The Shawnee News-Star, The Shawnee News-Star is an American daily newspaper published in Shawnee Oklahoma. It is the newspaper of record for Pottawatomie Lincoln and Seminole counties in the Oklahoma City metropolitan area. It took its current name in 1943 after the merger of the Shawnee Evening Star and Shawnee Morning News. The paper was formerly owned by Stauffer Communications which was acquired by Morris Communications in 1994. Morris sold the paper along with thirteen others to GateHouse Media in 2007.,Company,WrittenWork,0
