,Content,Predicted Category,Actual Category,LLM Output
1824,The Mahakali Caves (Marathi: महाकाली गुंफा) (also known as the Kondivita Caves) are a group of 19 rock-cut monuments built between 1st century BCE and 6th century CE.This Buddhist monastery is located in the western suburb of Andheri in the city of Mumbai (Bombay) in western India. Monument consists of two groups of rock-cut caves - 4 caves more to the north-west and 15 caves more to the south-east. Most caves are viharas and cells for monks but Cave 9 of south-eastern group is chaitya.,Building,NaturalPlace,Building
1844,Mithila has been reputed for its great and outstanding culture civilization tradition and heritage in the whole world since time immmemorial. The splendour of the ideal life of Mother Sita not only purified the soil of mithila but also spread brightness in the entire universe. On this very fertile land of Mithila famous eye surgeon Dr.,Artist,EducationalInstitution,Artist
1912,Rick Ostrander is the provost at Cornerstone University.,OfficeHolder,Artist,Office
1931,Atâ-Malek Juvayni (1226–1283) (Persian: عطاملک جوینی‎) in full Ala al-Din Ata-ullah (Persian: علاءالدین عطاالله‎) was a Persian historian who wrote an account of the Mongol Empire entitled Tarīkh-i Jahān-gushā (History of the World Conqueror).He was born in Juvayn a city in Khorasan in northeastern Iran. Both his grandfather and his father Baha al-Din had held the post of sahib-divan or Minister of Finance for Muhammad Jalal al-Din and Ögedei Khan respectively.,Artist,OfficeHolder,Artist
2005,Château Quintus is a wine estate of 15 ha located in Saint-Émilion in the AOC of the same name. Formerly named Château Tertre Daugay a Classified Growth of Saint-Émilion it is the property of Quintus SAS a subsidiary of Domaine Clarence Dillon SAS.From the 2011 vintage the grand vin is called Château Quintus and the second wine Le Dragon de Quintus.,Building,Company,Building
2051,In 1859 Albert Bierstadt accompanied Frederick W. Lander on a western expedition. On his return he painted a mountain landscape on a large 6 feet (1.8 m) by 10 feet (3.0 m) canvas. Following the death of General Lander during the Civil War in 1862 Bierstadt named the peak Lander's Peak. The painting was completed in 1863 and sold in 1865 for $25000.,Building,NaturalPlace,Building
2081,Switzler Hall is an academic hall on the campus of the University of Missouri in Columbia Missouri. The building was completed in 1872 and it is located on the west side of the David R. Francis Quadrangle. Switzler Hall is the oldest academic building and second oldest structure on campus after the Chancellor's Residence. The building was named after Colonel William Franklin Switzler editor and publisher of the Missouri Statesman and supporter of the University.,EducationalInstitution,Building,Educ
2158,Karen DeYoung is a Pulitzer Prize-winning American journalist and is the associate editor for The Washington Post. DeYoung was born in Florida and she grew up in St. Petersburg Florida. She received Bachelor degrees in journalism and communications from the University of Florida. After graduation DeYoung worked as a non-staff stringer in West Africa. In 1975 she joined the Post.,OfficeHolder,Artist,Office
2160,Kennywood is an amusement park located in West Mifflin Pennsylvania a suburb of Pittsburgh. The park first opened in 1898 as a trolley park attraction at the end of the Mellon family's Monongahela Street Railway. The park was purchased in 1906 by F. W. Henninger and Andrew McSwigan and thus began the Kennywood Entertainment company that has remained a closely held family business for over 100 years.,Company,Building,Company
2415,O'Fallons Bluff is a section of bluffs about 20 miles (32 km) long that run along the south side of the Platte river near Sutherland in Lincoln County Nebraska. The Oregon and California trails ran up and over these bluffs. They were characterized by American pioneers heading west to Oregon and California as sparse in vegetation with a number of violent incidents involving Native Americans.,NaturalPlace,Building,Natural
2640,Standing on the Edge of the Noise is a unique intimate look at Oasis performing in their own space instead of the huge stadium stages on which they are more often seen. The programme includes a mix of classics and new tracks from Dig Out Your Soul. It's a one-off live show that they played for a handful of fans in their rehearsal studio as preparations for their 2008/2009 Dig Out Your Soul Tour.,Album,Film,Album
2808,Michael Stern (August 3 1910 – April 7 2009) was an American reporter author and philanthropist. As a reporter during World War II he issued some of the first accounts from a liberated Rome Italy in June 1944. He later worked in concert with Zachary Fisher to create the Intrepid Sea-Air-Space Museum in New York City New York United States.,OfficeHolder,Artist,Office
2883,Morrison's Cafeterias was a chain of cafeteria-style restaurants located in the Southeastern United States with a concentration of locations in Georgia and Florida. Generally found in shopping malls Morrison's primary competition was Piccadilly Cafeterias. It was particularly popular in Florida with its high proportion of retirees. At its peak the company was synonymous with good southern cooking and operated 151 restaurants under the Morrison's name in 13 states.,Company,Building,Company
2896,Caleb Smith State Park Preserve is a state park located in Suffolk County New York in the USA. The park is near the north shore of Long Island in the town of Smithtown. Prior to its current name the park was called Nissequogue River State Park a name now used for park lands on the former Kings Park Psychiatric Center grounds.,NaturalPlace,Building,Natural
2981,Acritarchs are small organic fossils present from approximately 1400 to 3200 million years ago to the present. Their diversity reflects major ecological events such as the appearance of predation and the Cambrian explosion.,MeanOfTransportation,Plant,Mean
3080,Edward Gallenstein is the Editor-in-Chief of the magazine Chip Chats and President of the National Wood Carvers Association.,OfficeHolder,Artist,Office
3084,The AK-ROWDIES are a student cheer group at The University of Akron that was founded in 2005. The AK ROWDIES are the largest organization at Akron. They can be found at all of the sporting events on campus in special student sections designated for the Rowdy members.,Company,EducationalInstitution,Company
3725,Raymond Harry Ray Beckett (born 1903 died 1983) was an Australian journalist newspaper editor and author.Before becoming a journalist he worked as a rouseabout in South Australia. His first position as a journalist was working for the Adelaide Advertiser where he was paid one penny per line of copy. Other positions he has held include: chief sub-editor at the Sydney Telegraph Assistant Editor of the Sunday Telegraph and the Sun-Herald and editor of the Sunday Mirror.,OfficeHolder,Artist,Office
3768,George Wheeler Hinman (November 19 1864 - March 31 1927) was an American writer and newspaper publisher. He also served as the president of Marietta College in Ohio from 1913-1918.Hinman was born in Mount Morris New York in 1864 and graduated from Hamilton College in New York in 1884. After working at newspapers in Chicago and St. Louis he obtained a masters and Ph.D. degree from Heidelberg University in 1889.,OfficeHolder,Artist,Office
3786,The Association of Theologically Trained Women of India (ATTWI) is an association of Indian women theologians which was constituted in 1979 in Chennai.It is an ecumenical organisation with more than 500 members.,Company,EducationalInstitution,Company
3854,In 1811 Andrew Ellicott made a survey for the state of Georgia to resolve the boundary dispute between Georgia and North Carolina which in 1810 had resulted in a short armed conflict between the two called the Walton War. He engraved a large rock in the Chattooga River with N-G standing for North Carolina - Georgia.,NaturalPlace,Building,Natural
4001,Marcel Desjardins (born May 19 1966) is the current General Manager for the Ottawa Redblacks in the Canadian Football League. He was most recently the Assistant GM for the Montreal Alouettes from 2008 to 2012. He has also served as the General Manager for the Hamilton Tiger-Cats for two seasons. He is a three time Grey Cup champion having won all three with the Alouettes. Desjardins is a graduate of the Sports Administration program at Laurentian University in Sudbury Ontario.,OfficeHolder,Athlete,Office
4006,Star Weiss is an accomplished journalist educator and author. She was born in Tarrytown New York and moved around the state as a child spending her teen years in White Plains. Star moved to Canada after meeting her husband Russ. Together they have had two daughters and now live out of Victoria British Columbia.,Artist,WrittenWork,Artist
4041,The Public Health Foundation of India (PHFI) is an autonomous foundation located in New Delhi India. The foundation was created as a public-private initiative and launched by the Prime minister of India Manmohan Singh in 2006 with the aim of enhancing the capacity of public health professionals in the country over five to seven years. The PHFI initiative was collaboratively developed over two years under the leadership of Rajat Gupta (Former Sr.,Company,EducationalInstitution,Company
4094,In law dissolution has multiple meanings.Dissolution is the last stage of liquidation the process by which a company (or part of a company) is brought to an end and the assets and property of the company redistributed.Dissolution may also refer to the termination of a contract or other legal relationship; for example the dissolution of a marriage or divorce.Dissolution is also the term for the legal process by which an adoption is reversed.,MeanOfTransportation,Plant,Mean
4417,Grosvenor Canal was a canal in the Pimlico area of London opened in 1825. It was progressively shortened as first the railways to Victoria Station and then the Ebury Bridge housing estate were built over it. It remained in use until 1995 enabling barges to be loaded with refuse for removal from the city making it the last canal in London to operate commercially. A small part of it remains among the Grosvenor Waterside development.,MeanOfTransportation,NaturalPlace,Mean
4523,Carly Rae Patterson-Caldwell (born February 4 1988 in Baton Rouge Louisiana)[citation needed] is an American singer and former gymnast. She is the 2004 Olympic All-Around Champion and a member of the USA Gymnastics Hall of Fame. She currently lives in Allen Texas.[citation needed],Artist,Athlete,Artist
4850,Showcase Cinemas is a movie theater chain owned and operated by National Amusements. Operating more than 950 indoor screens in the United States United Kingdom and Latin America.,Company,Plant,Company
5184,Goebelsmuhle (Luxembourgish: Giewelsmillen German: Goebelsmühle) is a village in the commune of Bourscheid in north-eastern Luxembourg. As of 2006 the village had a population of 17. Nearby is the confluence of the Sauer and the Wiltz.It is served by Goebelsmuhle railway station which lies on Chemins de Fer Luxembourgeois' Line 10.,Village,NaturalPlace,V
5250,Cancajanag is located within the municipal boundary of Dagami in the province of Leyte on the island of Leyte Region VIII of the Philippines.,Village,NaturalPlace,V
5261,The East Longs Peak Trail Longs Peak Trail and Keyhole Route-Shelf Trail in Rocky Mountain National Park are listed on the National Register of Historic Places for their significance in the early recreational development of the park. The East Longs Peak Trail was laid out in 1878 by Reverend Elkanah H. Lamb long before the designation of the region as parkland. It was extended in 1910 by Enos Mills.,NaturalPlace,Building,Natural
5315,The First Baptist Church of Manila also known as FBCM or FirstBap is a church established by the pioneering of the United States missionaries in the early 1900s. The church had at first U.S. missionaries for its pastor but consequently with the independence of the Philippines on July 4 1946 the church had its first Filipino pastor the late Pastor Antonio Ormeo. FBCM's current Senior Pastor who took Pastor Ormeo's place is Pastor Ebenezer T. Nacita.,Building,Company,Building
5334,ChicaGo Dash is an express bus service between Chicago Illinois and Valparaiso Indiana. It is jointly run by the city of Valparaiso and the Valparaiso Redevelopment Commission with substantial financial support from the Northwest Indiana Regional Development Authority. It was launched on October 6 2008.,MeanOfTransportation,Company,Mean
5454,Serge Lang (June 6 1920–November 21 1999) was a French journalist alpine skier and the founder of the alpine skiing World Cup. As a journalist he covered alpine skiing cycling and other sports for five major publications. In the mid-1960s he envisioned a season-long series of ski races which became the World Cup skiing circuit. He continued to guide the growth of the World Cup and the sport of ski racing over the next two decades.,Athlete,Artist,Ath
5490,Victory at Sea is a documentary television series about warfare in general during World War II and naval warfare in particular as well as the use of industry in warfare. It was originally broadcast by NBC in the USA in 1952–1953. It was condensed into a film in 1954. Excerpts from the music soundtrack by Richard Rodgers and Robert Russell Bennett were re-recorded and sold as record albums.,WrittenWork,Film,Written
5537,Fritz Guy (born 1930) is a Seventh-day Adventist theologian and Research Professor of Philosophical Theology at La Sierra University in Riverside California. He has worked as a college and university professor an academic administrator and a church pastor.,Artist,OfficeHolder,Artist
5642,William Levi Crawford (1911–1984) was an American publisher and editor.,OfficeHolder,Artist,Office
5695,Colin J.,Artist,Athlete,Artist
5812,The campus of the Massachusetts Institute of Technology is located on a 168-acre (68 ha) tract in Cambridge Massachusetts United States. The campus spans approximately one mile (1.6 km) of the north side of the Charles River basin directly opposite the Back Bay neighborhood of Boston Massachusetts.The campus includes dozens of buildings representing diverse architectural styles and shifting campus priorities over MIT's history.,EducationalInstitution,Building,Educ
5862,Minamoto no Tōru (源 融 822 – September 21 895) was a Japanese poet and statesman. He was born the grandson of Emperor Saga and a member of the Saga Genji clan.,OfficeHolder,Artist,Office
6034,Shakespeare's Pizza founded in 1973 is a Columbia Missouri landmark known for its popular pizza and unconventional decor. Located at the intersection of 9th and Elm in downtown Columbia it is across the street from the campus of the University of Missouri. In November 2010 Shakespeare's was the winner of “Best Bites Challenge: College Edition” on ABC’s “Good Morning America.”,Building,Company,Building
6072,Gichin Funakoshi (船越 義珍 Funakoshi Gichin November 10 1868 – April 26 1957) is the founder of Shotokan Karate-Do perhaps the most widely known style of karate and is attributed as being the father of modern karate. Following the teachings of Anko Itosu he was one of the Okinawan karate masters who introduced karate to the Japanese mainland in 1922. He taught karate at various Japanese universities and became honorary head of the Japan Karate Association upon its establishment in 1949.,Artist,Athlete,Artist
6170,9012Live is the video release of a concert by the progressive rock group Yes recorded live at Northlands Coliseum in Edmonton Canada on September 28 and 29 1984. It mostly features material from the band's reunion album 90125 which was a major success for the band. The 1984–1985 tour was the band's first since reuniting after a three-year breakup.,Album,Film,Album
6250,Viriato Díaz Pérez was of the most important teachers that Paraguay had in almost half a century.,OfficeHolder,Artist,Office
6526,The Matheson was an American automobile manufactured from 1903 to 1912. The President of the company was Charles Walter Matheson born Grand Rapids Michigan March 22 1876. His brother Frank F. Matheson served as company secretary.,MeanOfTransportation,Company,Mean
6545,Navajivan Trust is a publishing house based out of Ahmedabad India. It was founded by Mahatma Gandhi in 1929 and has published more than 800 titles in English Gujarati Hindi and other languages to date.Earlier Navajivan referred to a weekly newspaper published by Gandhi in Gujarati from 1919 (September 7) to 1931 from Ahmedabad.,Company,WrittenWork,Company
6591,Auguste-Jean-Marie Vermorel (June 21 1841 - June 20 1871) was a French journalist.,OfficeHolder,Artist,Office
6667,Aars Municipality - before the Kommunalreformen (The Municipality Reform of 2007) it was a municipality (Danish kommune) in northern Denmark in the county of North Jutland on the peninsula of Jutland. The municipality covers an area of 223 km² and had a total population of 13284 (2005). Its latest mayor was Knud V. Christensen a member of the Conservative People's Party (Det Konservative Folkeparti) political party.,OfficeHolder,EducationalInstitution,Office
6731,Adam Rittenberg is a blogger and sports journalist for ESPN's college football section dedicated to the Big Ten Conference in college football. Before 2008 when he joined ESPN he was a sports writer at Daily Herald (Arlington Heights) in Illinois. Rittenberg is a graduate of Northwestern University and resides near Chicago Illinois.,OfficeHolder,Artist,Office
6765,Tears from Heaven is the fourth album of the American comics series Love and Rockets written and drawn by Los Bros Hernandez Gilbert and Jaime and published in 1988.The cover of the compilation is by Gilbert Hernandez the back cover by Jaime. Gilbert and Jaime's brother Mario Hernandez does not participate to this book except for one cover.,Album,WrittenWork,Album
7054,Kamyana Mohyla (Ukrainian: Кам'яна Могила; Kamennaya mogila Russian: Каменная могила; literally: stone tomb) is an archaeological site in the Molochna River (literally Milk river) valley about a mile from the village of Terpinnya Zaporizhia Oblast Ukraine.The site encompasses a group of isolated blocks of sandstone up to twelve meters in height scattered around an area of some 3000 square meters.,NaturalPlace,Building,Natural
7062,CartoonArts International affiliated with the New York Times Syndicate represents artists from around the world. Founded in 1978 by artist Jerry Robinson it distributes political and humor cartoons caricatures and graphics internationally and is updated daily.It maintains one of the world's most extensive cartoon archives representing more than 550 artists from over 75 countries. The artists provide commentary on news stories and personalities.,Company,WrittenWork,Company
7338,Einar Hålien (born 17 November 1963) is a Norwegian editor.He was born in Fagernes. He was hired as a journalist in the Norwegian Broadcasting Corporation in 1989 and led the district offices of the Broadcasting Corporation in Nordland from 1993 to 1995 and Hordaland from 1995 to 1997. He was appointed chief editor of the large regional newspaper Bergens Tidende in 1997 and became director in Schibsted in 2008.,OfficeHolder,Artist,Office
7478,Osborne King originally Osborne King & Megran is a commercial property consultancy firm based in Belfast UK and private partnership of chartered surveyors in the United Kingdom. It is among the oldest firms of its kind in Ireland having been founded in 1947. It is known for its public sector workwith contracts in defence county councils government offices and educational facilities.,Company,EducationalInstitution,Company
7491,Immagine in Cornice Italian for picture in a frame is a live concert film documenting the 2006 five-concert tour of Italy by the American alternative rock band Pearl Jam. It was released on September 25 2007.,Film,Album,Film
7498,Banavasi (Kannada: ಬನವಾಸಿ) also known as Konkanapura is an ancient temple town in Uttara Kannada District bordering Shivamogga district in the South Indian state of Karnataka .Huen Tsang the Chinese traveler-monk who was in India between 630-644 C.E visited Konkanapura called Konkanapulo(referred in Chinese scripts)or Banavasi.,Building,Village,Building
7544,SANAE IV is the current research base of the South African National Antarctic Expedition and is part of the South African National Antarctic Program (SANAP). The other two bases in SANAP are Gough Island and Marion Island.,MeanOfTransportation,Building,Mean
7634,Aneeta Prem is a British author human rights campaigner magistrate and the founder and president of Freedom.,Artist,OfficeHolder,Artist
7768,Bear Creek Saloon and Steakhouse is a restaurant in the small town of Bear Creek Montana. The Saloon is family owned by (Bobby) Pits & Lynn DeArmond since it was purchased in 1982. The restaurant houses fund-raising pig races throughout the year that use full grown pigs in the summer and piglets in the winter which are overseen by the Carbon County Health Department and the U.S. Department of Agriculture.,Building,Company,Building
7897,Jeffrey Lee Pierce (June 27 1958 – March 31 1996) was an American singer songwriter and guitarist. He was one of the founding members of the 1980s punk band The Gun Club. He was a founding member of The Red Lights before forming The Gun Club and also released several solo albums.,Artist,OfficeHolder,Artist
8134,Bangladesh Youth Leadership Center (BYLC) is the first leadership institution in Bangladesh founded with the vision of creating a more inclusive tolerant and just society by training the next generation of leaders. Originally developed at Harvard Kennedy School’s Center for Public Leadership in 2008 Bangladesh Youth Leadership Center was established in Bangladesh in 2009.,EducationalInstitution,Company,Educ
8348,CEDU Educational Services Inc. known simply as CEDU (pronounced see-doo) was founded in 1967 by Mel Wasserman and his wife Brigitta. The company owned and operated several therapeutic boarding schools and behavior modification programs in California and Idaho.,Company,EducationalInstitution,Company
8447,The Evangelical Fellowship of Thailand (Thai: สหกิจคริสเตียนแห่งประเทศไทย) is an umbrella organization for various evangelical churches parachurch organizations and foundations and is one of five Christian groups legally recognized by the Thai government.,Company,Building,Company
8448,Stuart Stevens is an American travel writer and political consultant. He is the cofounder of Washington D.C. - based political media consultancy Stevens & Schriefer Group (with Russell Schriefer). He served as a top strategist for Mitt Romney's 2012 presidential campaign.,OfficeHolder,Artist,Office
8479,The Sisters of Charity of Jesus and Mary came to Galle Sri Lanka in 1896 for more than 11 years there was only one house of the SCJM in Galle. The second foundation was proposed from 1906 especially by M. Tiburce De Mol Superior of Galle. In collaboration with the Jesuits the sisters started the work and by 1908 they finished the convent and the school. on 15 April 1908 Sr. Josephine Halewijn and Sr.,Building,EducationalInstitution,Building
8493,The Museum Computer Network (MCN) is a US-based non-profit organization for professionals with an interest in the use of computer technology for museums.,Company,Building,Company
8704,The National Institute of Technology and Evaluation (製品評価技術基盤機構 Seihin Hyōka Gijutsu Kiban Kikō) or NITE is an incorporated administrative agency (an independent administrative institution ) established by Japanese government aiming to contribute to the “safety and security of life” supported by reliable technology and information.,Company,EducationalInstitution,Company
8759,Bangabandhu Aeronautical Centre (BAC) located in Kurmitola Dhaka is the center for maintenance of the aircraft of Bangladesh Air Force. It was inaugurated in 4 December 2011.,Building,Company,Building
8763,The Flanders Automobile Company was a short-lived US-American automobile manufacturer which operated in Detroit Michigan from 1910 to 1913.It was the brainchild of Walter E. Flanders (1871–1923) who formerly held a position as General Factory Manager at the Ford Motor Company's Piquette avenue plant. There he co-invented the ingenious manufacturing methods which made the Model T Ford so famous.In 1908 Flanders left the Ford Motor Company and co-founded together with Bernard F.,MeanOfTransportation,Company,Mean
8791,The Joyland Amusement Park is a small family-owned traditional amusement park located in Lubbock Texas USA within Lubbock's Mackenzie Park. It typically operates from March to September of each year opening 7 days a week but only during the evening on weeknights.,Building,Company,Building
8793,Saunderstown is a small village and historic district in the towns of Narragansett and North Kingstown in Washington County Rhode Island United States.Saunderstown is known as the birthplace of the artist Gilbert Stuart who is best known for painting the portrait of George Washington that is portrayed on the one-dollar bill.,Village,Building,V
8810,Mrityunjay Kumar Singh (मृत्युंजय कुमार सिंह) (born August 30 1961) is an Indian Police Service Officer of the 1987 batch belonging to the West Bengal Cadre. He is also a poet columnist lyricist and folk musician.,OfficeHolder,Artist,Office
9061,Meridian 4 also known as Meridian #14L is a Russian military communications satellite. It was launched atop a Soyuz-2-1a/Fregat rocket from the Plesetsk Cosmodrome in May 2011. It is the fourth satellite to be launched as part of the Meridian system which will replace the older Molniya series.Meridian satellites are launched into highly elliptical Molniya orbits to provide communications coverage of the Northern Hemisphere for the Russian military.,MeanOfTransportation,Company,Mean
9074,Guillermo Prieto Pradillo (10 February 1818 — 2 March 1897) was a Mexican novelist short-story writer poet chronicler journalist essayist patriot and Liberal politician. According to Eladio Cortés during his lifetime he was considered Mexico's national poet and his political allegiance to the Mexican liberals allowed him to serve as Minister of Finance and Foreign Affairs under different administrations.In his writings he used several pen names including Don Benedeno and Fidel.,Artist,OfficeHolder,Artist
9086,Jubilee Mission Medical College and Research Institute is a private medical college located at Thrissur in Kerala India. The establishment is administered by the Jubilee Mission Hospital Trust a charitable organization under the Catholic Archdiocese of Thrissur.,EducationalInstitution,Building,Educ
9310,Human resource policies are systems of codified decisions established by an organization to support administrative personnel functions performance management employee relations and resource planning.Each company has a different set of circumstances and so develops an individual set of human resource policies.,Company,EducationalInstitution,Company
9468,The High Altitude Warfare School (HAWS) is a training and research establishment of the Indian Army. It trains Indian Army personnel in high altitude mountain warfare and develops ideas and techniques for fighting in such difficult terrain. It is the one of the best mountain warfare training schools in the world.,Building,EducationalInstitution,Building
9475,William Roberts (1767 Newington Butts – 21 May 1849) was an English barrister and legal writer an evangelical journal editor and the first biographer of Hannah More.,OfficeHolder,Artist,Office
9508,Rose L.,Building,EducationalInstitution,Building
9556,Nikolay Georgiyevich Abramashvili (Russian: Никола́й Гео́ргиевич Абрамашви́ли) (December 28 1918 born in Akhaldaba Georgia — November 30 1943) was a Soviet fighter ace who fought in the Great Patriotic War.,Unknown,OfficeHolder,Military
9618,The Yale Club of New York City commonly called the Yale Club is a private club in Midtown Manhattan New York City New York United States. Its membership is restricted almost entirely to alumni and faculty of Yale University. With a clubhouse comprising 22 stories and a worldwide membership of over 11000 it is the largest private clubhouse in the world. As a Platinum Club of America it is considered in the elite 1% of all private clubs in the world.,Building,Company,Building
9698,Fifth Avenue High School is a defunct school located at 1800 Fifth Avenue in Pittsburgh Pennsylvania's Bluff neighborhood USA.Built in 1894 as a large Romanesque/Gothic Revival building it served the Pittsburgh Public Schools until its closure in 1976.,EducationalInstitution,Building,Educ
9720,Ochirbatyn Dashbalbar (Mongolian: Очирбатын Дашбалбар; 1957—1999) was a Mongolian writer and politician.,OfficeHolder,Artist,Office
9812,Automobiles Oméga-Six was a French automobile manufactured in the Paris region by Jules Daubeck between 1922 and 1930.,MeanOfTransportation,Company,Mean
9925,The Original Pantry Cafe is an iconic coffee shop and restaurant in Los Angeles California. Located at the corner of 9th and Figueroa in Downtown L.A.'s South Park district The Pantry (as it is known by locals) claims to never have closed or been without a customer since it opened in 1924 including when it changed locations in 1950 to make room for a freeway off-ramp. It served lunch in the original location and served dinner at the new location the same day.,Building,Company,Building
